ticker,date,entry,confidence,return,days_held,exit
21STCENMGM.NS,2024-06-20T00:00:00.000000000,57.27226638793945,0.7178877,0.04,2,TP
21STCENMGM.NS,2024-06-21T00:00:00.000000000,58.41499710083008,0.7563846,0.04,2,TP
21STCENMGM.NS,2024-06-24T00:00:00.000000000,59.57710266113281,0.8152356,0.04,2,TP
21STCENMGM.NS,2024-06-25T00:00:00.000000000,60.76825714111328,0.8122701,0.04,2,TP
21STCENMGM.NS,2024-06-26T00:00:00.000000000,61.97877883911133,0.8252631,0.04,2,TP
21STCENMGM.NS,2024-06-27T00:00:00.000000000,63.218353271484375,0.81959116,0.04,2,TP
21STCENMGM.NS,2024-06-28T00:00:00.000000000,64.47730255126953,0.81411654,0.04,2,TP
21STCENMGM.NS,2024-07-01T00:00:00.000000000,65.76529693603516,0.8116716,0.04,2,TP
21STCENMGM.NS,2024-07-02T00:00:00.000000000,67.07266235351562,0.8798462,0.04,2,TP
21STCENMGM.NS,2024-07-03T00:00:00.000000000,68.40907287597656,0.905128,0.04,2,TP
21STCENMGM.NS,2024-07-04T00:00:00.000000000,69.77455139160156,0.9288501,0.04,2,TP
21STCENMGM.NS,2024-07-05T00:00:00.000000000,71.1690673828125,0.9346553,0.04,2,TP
21STCENMGM.NS,2024-07-08T00:00:00.000000000,72.58295440673828,0.92968655,0.04,2,TP
21STCENMGM.NS,2024-07-09T00:00:00.000000000,74.02590942382812,0.92968655,0.04,2,TP
21STCENMGM.NS,2024-07-10T00:00:00.000000000,75.4979019165039,0.92968655,0.04,2,TP
21STCENMGM.NS,2024-07-11T00:00:00.000000000,76.99894714355469,0.92968655,-0.0263,4,SL
21STCENMGM.NS,2024-07-12T00:00:00.000000000,78.53873443603516,0.9392783,-0.0454,3,SL
21STCENMGM.NS,2024-07-15T00:00:00.000000000,78.53873443603516,0.9359692,-0.0454,2,SL
21STCENMGM.NS,2024-07-16T00:00:00.000000000,78.53873443603516,0.910504,-0.0454,1,SL
21STCENMGM.NS,2024-07-31T00:00:00.000000000,82.95999908447266,0.7053142,0.04,2,TP
21STCENMGM.NS,2024-08-01T00:00:00.000000000,84.61000061035156,0.71137965,0.04,2,TP
21STCENMGM.NS,2024-08-08T00:00:00.000000000,93.4000015258789,0.74180734,0.04,2,TP
21STCENMGM.NS,2024-08-09T00:00:00.000000000,95.26000213623047,0.7707517,0.04,2,TP
21STCENMGM.NS,2024-08-12T00:00:00.000000000,97.16000366210938,0.91862893,0.04,5,TP
21STCENMGM.NS,2024-08-13T00:00:00.000000000,99.0999984741211,0.92844886,-0.0201,1,SL
21STCENMGM.NS,2024-08-23T00:00:00.000000000,109.3499984741211,0.78859776,0.04,2,TP
21STCENMGM.NS,2024-08-26T00:00:00.000000000,111.52999877929688,0.75685865,0.04,2,TP
21STCENMGM.NS,2024-08-27T00:00:00.000000000,113.76000213623047,0.77622616,0.04,2,TP
21STCENMGM.NS,2024-08-28T00:00:00.000000000,116.02999877929688,0.8457497,0.04,2,TP
21STCENMGM.NS,2024-08-29T00:00:00.000000000,118.3499984741211,0.85781103,0.04,2,TP
21STCENMGM.NS,2024-08-30T00:00:00.000000000,120.70999908447266,0.93692416,0.04,2,TP
21STCENMGM.NS,2024-09-02T00:00:00.000000000,123.12000274658203,0.9355615,0.04,2,TP
21STCENMGM.NS,2024-09-03T00:00:00.000000000,125.58000183105469,0.93317753,0.04,2,TP
21STCENMGM.NS,2024-09-04T00:00:00.000000000,128.08999633789062,0.93317753,0.04,2,TP
21STCENMGM.NS,2024-09-05T00:00:00.000000000,130.64999389648438,0.9321681,0.04,2,TP
21STCENMGM.NS,2024-09-06T00:00:00.000000000,133.25999450683594,0.9321681,0.04,2,TP
21STCENMGM.NS,2024-09-09T00:00:00.000000000,135.9199981689453,0.9170795,-0.0324,4,SL
21STCENMGM.NS,2024-09-10T00:00:00.000000000,138.6300048828125,0.9170795,-0.0319,2,SL
3MINDIA.NS,2025-01-13T00:00:00.000000000,29042.05078125,0.721728,0.04,3,TP
AAATECH.NS,2024-12-20T00:00:00.000000000,104.83000183105469,0.743314,-0.0049,5,EXP
AAATECH.NS,2024-12-23T00:00:00.000000000,103.2300033569336,0.7043779,0.0038,5,EXP
AAKASH.NS,2024-07-01T00:00:00.000000000,14.15999984741211,0.71878403,0.04,1,TP
AARVEEDEN.NS,2024-08-23T00:00:00.000000000,44.2599983215332,0.76460224,0.04,1,TP
AARVEEDEN.NS,2024-11-27T00:00:00.000000000,73.98999786376953,0.8168005,0.04,2,TP
AARVEEDEN.NS,2024-11-28T00:00:00.000000000,75.45999908447266,0.8200353,0.04,2,TP
AARVEEDEN.NS,2024-11-29T00:00:00.000000000,76.95999908447266,0.82214624,0.04,2,TP
AARVEEDEN.NS,2024-12-02T00:00:00.000000000,78.48999786376953,0.82214624,0.04,2,TP
AARVEEDEN.NS,2024-12-03T00:00:00.000000000,80.05000305175781,0.8491172,0.04,2,TP
AARVEEDEN.NS,2024-12-04T00:00:00.000000000,81.6500015258789,0.860411,0.04,2,TP
