ticker,xgb_conf,lgb_conf,avg_conf,conf_diff,volatility,kelly_fraction,label
AARVEEDEN.NS,0.8287642290441184,0.5639101073685597,0.6963371682063391,0.26485412167555866,,0.0,1
AARVEEDEN.NS,0.804005409803627,0.5838360419439911,0.693920725873809,0.22016936785963592,,0.0,1
AARVEEDEN.NS,0.8056401119732137,0.6675754041064191,0.7366077580398165,0.1380647078667946,,0.0,1
AARVEEDEN.NS,0.8078369915651703,0.7238500002622837,0.765843495913727,0.08398699130288656,,0.0,1
AARVEEDEN.NS,0.814070534544638,0.7028728417656223,0.7584716881551301,0.1111976927790157,,0.0,1
AARVEEDEN.NS,0.8465308653891749,0.6948917787108121,0.7707113220499935,0.1516390866783628,,0.0,1
AARVEEDEN.NS,0.8558021338050592,0.7022924832068812,0.7790473085059701,0.153509650598178,,0.0,1
AARVEEDEN.NS,0.8654786254281382,0.7493279604414006,0.8074032929347694,0.11615066498673765,,0.0,1
AARVEEDEN.NS,0.8666035250939266,0.7601701821566863,0.8133868536253064,0.10643334293724027,,0.0,1
AARVEEDEN.NS,0.8658166409899599,0.7582283381682585,0.8120224895791093,0.1075883028217014,,0.0,1
AARVEEDEN.NS,0.8612020276909907,0.4522419510240934,0.6567219893575421,0.4089600766668973,,0.0,1
AARVEEDEN.NS,0.846209254042849,0.44571382285115996,0.6459615384470044,0.400495431191689,,0.0,1
AARVEEDEN.NS,0.8451855897701471,0.4633970002948762,0.6542912950325117,0.38178858947527095,,0.0,1
AARVEEDEN.NS,0.8513625350859025,0.49884436191774356,0.675103448501823,0.352518173168159,6.689893765559507,0.0002234403265547121,1
AARVEEDEN.NS,0.848825550855626,0.5446258531175371,0.6967257019865816,0.30419969773808897,6.823587967254032,0.00021477039239749458,1
AARVEEDEN.NS,0.7949551366847397,0.5453736307563882,0.670164383720564,0.2495815059283515,6.960484145559887,0.00020640542265895178,1
AARVEEDEN.NS,0.8096703852019571,0.5789166558574584,0.6942935205297078,0.23075372934449867,7.101214346338728,0.00019830549858111513,1
AARVEEDEN.NS,0.8192762168521762,0.574928453326511,0.6971023350893436,0.24434776352566523,7.244911707250153,0.0001905170313550936,1
AARVEEDEN.NS,0.8192762168521762,0.6368894431534996,0.7280828300028379,0.18238677369867662,7.390423252711234,0.00018308863098500424,1
AARVEEDEN.NS,0.8192762168521762,0.6368894431534996,0.7280828300028379,0.18238677369867662,7.537864318102055,0.00017599623135488616,1
AARVEEDEN.NS,0.7828636174007283,0.6205616997799198,0.7017126585903241,0.16230191762080848,7.687164287964072,0.00016922622806013,1
AARVEEDEN.NS,0.7226854009465867,0.5470293134184904,0.6348573571825386,0.17565608752809636,7.645541917571025,0.0001710737804009676,1
AARVEEDEN.NS,0.7429947583140272,0.6112359178482908,0.677115338081159,0.13175884046573638,7.573367489853748,0.0001743499944726388,1
AARVEEDEN.NS,0.7389091307333837,0.6232617744565767,0.6810854525949802,0.115647356276807,7.53719179183837,0.0001760276402328219,1
AARVEEDEN.NS,0.7610420302705111,0.654715249239329,0.70787863975492,0.1063267810311821,7.538944209661816,0.0001759458149497591,1
AARVEEDEN.NS,0.8211330793550267,0.775758751310465,0.7984459153327459,0.04537432804456165,7.5812434403351405,0.0001739879275747855,1
AARVEEDEN.NS,0.8475067924623491,0.7774293837113175,0.8124680880868334,0.07007740875103152,7.665973891015798,0.00017016307631824464,1
AARVEEDEN.NS,0.8471107226989968,0.7557334554578664,0.8014220890784316,0.09137726724113038,7.7941284522872,0.00016461328512765516,1
AARVEEDEN.NS,0.8452673963168117,0.7607481315137856,0.8030077639152986,0.08451926480302607,7.965916956295439,0.00015758992569139135,1
AARVEEDEN.NS,0.8268217928898919,0.7764664083750111,0.8016441006324515,0.05035538451488075,7.941149385579377,0.00015857446990259053,1
AARVEEDEN.NS,0.8111594425805082,0.7360363583526901,0.7735979004665992,0.0751230842278181,7.987988297091629,0.00015672026601004334,1
AARVEEDEN.NS,0.8484265661446214,0.7739375870210785,0.8111820765828499,0.07448897912354291,8.114026272019888,0.00015188930009892503,1
AARVEEDEN.NS,0.8430774968521323,0.7862415446491902,0.8146595207506613,0.05683595220294213,8.317909401524483,0.00014453453465779743,1
AARVEEDEN.NS,0.7558513217946091,0.733274604059445,0.7445629629270271,0.02257671773516412,8.599910042771818,0.00013521104929879285,1
AARVEEDEN.NS,0.33844777193373393,0.5126492061607558,0.42554848904724485,0.1742014342270219,8.9569240877256,0.0,0
AARVEEDEN.NS,0.28065495173524774,0.26907115454727526,0.27486305314126147,0.011583797187972478,8.637173966640946,0.00013404686635786397,1
AARVEEDEN.NS,0.12501242390598125,0.2989361559653421,0.2119742899356617,0.17392373205936087,8.27741820137779,0.00014595205177717364,1
AARVEEDEN.NS,0.12776450588792984,0.21694226085683743,0.17235338337238365,0.08917775496890759,7.907379753666129,0.0001599317933924394,1
AARVEEDEN.NS,0.1361219260637617,0.17273329737868923,0.15442761172122546,0.03661137131492753,7.645174915765025,0.0,0
AARVEEDEN.NS,0.14462836689387404,0.1864824444530964,0.1655554056734852,0.04185407755922235,7.2291589348780985,0.0,0
AARVEEDEN.NS,0.1150447945565557,0.18635393158089372,0.15069936306872472,0.07130913702433803,6.760733651707058,0.0,0
AARVEEDEN.NS,0.11650782291178123,0.18076522467509856,0.1486365237934399,0.06425740176331733,6.275664792500172,0.0,0
AARVEEDEN.NS,0.1287084816796373,0.21850943876053822,0.17360896022008776,0.08980095708090091,5.663558895567588,0.0,0
